Neighborhood,ZIP Code,Population,Median Income,Median Age,% of Population Under 14,% Owner Occupied,% Unemployed
1960/Cypress,77065,"38,585","$56,341.00",33,23%,47%,5%
Aldine Area,77039,"28,711","$37,275.00",27.2,28%,61%,9%
Alief,77072,"59,442","$37,143.00",32.4,23%,47%,10%
Alvin North,77511,"46,333","$51,203.00",34.9,22%,71%,7%
Alvin South,77511,"46,333","$51,203.00",34.9,22%,71%,7%
Atascocita North,77346,"57,329","$87,878.00",33.4,25%,82%,5%
Atascocita South,77396,"47,623","$57,440.00",30.8,26%,63%,7%
Bacliff/San Leon,77518,"8,667","$40,421.00",31.7,28%,67%,8%
Bayou Vista,77563,"9,836","$50,481.00",43.1,19%,69%,8%
Baytown/Chambers County,77521,"53,091","$54,343.00",31.5,27%,64%,10%
Baytown/Harris County,77520,"37,928","$43,094.00",32.4,24%,61%,11%
Bear Creek,77449,"99,450","$66,550.00",30.4,27%,74%,8%
Bellaire,77401,"18,130","$154,053.00",41.2,23%,82%,4%
Braeswood Place,77025,"27,413","$65,524.00",35.3,19%,45%,5%
Brays Oaks,77031,"17,711","$38,677.00",30.9,27%,43%,9%
Briargrove,77057,"40,086","$52,624.00",33.9,16%,32%,5%
Briargrove Park/Walnut Bend,77042,"38,335","$45,403.00",31.5,19%,28%,7%
Briarmeadow/Tanglewilde,77063,"36,299","$46,611.00",32.9,18%,27%,6%
Brookshire,77423,"9,739","$37,182.00",33.7,25%,62%,8%
Chambers County East,77514,"4,430","$43,750.00",41.4,18%,79%,6%
Chambers County West,77523,"18,378","$90,226.00",33.7,27%,83%,7%
Champions Area,77069,"16,764","$64,498.00",47.1,14%,60%,5%
Charnwood/Briarbend,77063,"36,299","$46,611.00",32.9,18%,27%,6%
Clear Lake Area,77062,"25,760","$83,932.00",40.3,17%,78%,7%
Cleveland Area,77327,"21,089","$42,902.00",35.6,23%,74%,14%
Coldspring/South San Jacinto County,77331,"6,124","$41,611.00",54,13%,87%,10%
Conroe Northeast,77301,"31,796","$34,579.00",31.8,24%,49%,6%
Conroe Southeast,77301,"31,796","$34,579.00",31.8,24%,49%,6%
Conroe Southwest,77304,"24,426","$59,278.00",36.6,19%,57%,3%
Copperfield Area,77095,"69,927","$88,555.00",35,23%,72%,5%
Cottage Grove,77007,"31,987","$106,044.00",34.3,10%,50%,3%
Crosby Area,77532,"28,394","$62,313.00",34.8,23%,80%,8%
Crystal Beach,77650,"1,221","$92,083.00",53.3,15%,91%,5%
Cypress North,77429,"76,437","$98,191.00",34.2,26%,82%,3%
Cypress South,77433,"60,324","$93,884.00",31.1,30%,83%,5%
Dayton,77535,"30,946","$57,170.00",37.1,18%,80%,8%
Deer Park,77536,"31,960","$79,251.00",34.7,23%,76%,7%
Denver Harbor,77020,"26,777","$27,871.00",32.9,25%,48%,10%
Dickinson,77539,"41,090","$67,525.00",35,22%,71%,8%
East End-Galveston,77550,"22,134","$31,124.00",38.4,16%,40%,11%
East End Revitalized,77003,"10,508","$39,039.00",32.7,19%,39%,9%
Eldridge North,77041,"37,168","$74,020.00",34.5,24%,79%,7%
Energy Corridor,77077,"53,659","$62,784.00",34.5,18%,38%,6%
Fall Creek Area,77396,"47,623","$57,440.00",30.8,26%,63%,7%
Five Corners,77045,"33,820","$39,020.00",30.9,25%,68%,14%
Fort Bend County North/Richmond,77469,"38,364","$70,142.00",33.8,22%,73%,4%
Fort Bend Southeast,77469,"38,364","$70,142.00",33.8,22%,73%,4%
Friendswood,77546,"49,979","$95,641.00",39.3,21%,80%,5%
Fulshear/South Brookshire/Simonton,77441,"5,647","$136,080.00",47.9,20%,93%,4%
Galleria,77056,"17,515","$92,521.00",40.8,9%,46%,5%
Garden Oaks,77015,"55,635","$42,942.00",28.8,27%,53%,11%
Greenway Plaza,77046,967,"$98,846.00",47.8,4%,41%,0%
Gulfton,77081,"44,070","$27,191.00",29.6,28%,6%,7%
Heights/Greater Heights,77008,"31,418","$77,512.00",35.5,15%,53%,4%
Hempstead,77445,"12,662","$44,549.00",32.1,22%,66%,12%
Highland Village/Midlane,77027,"15,510","$82,038.00",36.7,8%,34%,5%
Hitchcock,77563,"9,836","$50,481.00",43.1,19%,69%,8%
Hobby Area,77061,"25,519","$33,302.00",29.4,25%,34%,7%
Hockley,77447,"13,186","$65,235.00",36.4,23%,86%,4%
Huffman Area,77336,"11,699","$63,814.00",35.8,23%,77%,7%
Humble Area East,77338,"36,257","$47,534.00",31.3,24%,53%,8%
Humble Area South,77338,"36,257","$47,534.00",31.3,24%,53%,8%
Humble Area West,77338,"36,257","$47,534.00",31.3,24%,53%,8%
Jersey Village,77040,"46,898","$53,233.00",32.4,22%,55%,5%
Katy-North,77449,"99,450","$66,550.00",30.4,27%,74%,8%
Katy-Old Towne,77493,"24,577","$76,393.00",33.7,23%,80%,6%
Katy-Southeast,77450,"73,269","$99,732.00",36.9,24%,71%,6%
Katy-Southwest,77494,"79,117","$131,694.00",34.7,29%,86%,3%
Kingwood East,77345,"29,292","$121,224.00",39.6,23%,82%,3%
Kingwood NW/Oakhurst,77339,"40,683","$72,200.00",38.3,18%,63%,7%
Kingwood South,77338,"36,257","$47,534.00",31.3,24%,53%,8%
Kingwood West,77339,"40,683","$72,200.00",38.3,18%,63%,7%
Knollwood/Woodside Area,77025,"27,413","$65,524.00",35.3,19%,45%,5%
La Marque,77568,"14,886","$43,928.00",35.7,23%,73%,11%
La Porte/Shoreacres,77571,"36,580","$69,480.00",36.1,21%,75%,8%
Lake Conroe Area,77356,"24,851","$82,181.00",48.2,16%,89%,8%
Lake Livingston Area,77351,"32,683","$41,661.00",43.6,16%,80%,9%
League City,77573,"75,772","$93,178.00",35.6,23%,73%,4%
Liberty,77575,"16,725","$45,792.00",34.7,23%,75%,9%
Magnolia/1488 East,77354,"34,551","$77,650.00",36,23%,88%,8%
Magnolia/1488 West,77355,"25,855","$71,973.00",38.7,23%,82%,8%
Medical Center Area,77030,"10,664","$71,078.00",32.5,15%,44%,4%
Medical Center South,77051,"15,216","$23,237.00",34.3,22%,39%,19%
Memorial Close In,77024,"36,791","$114,864.00",44.5,20%,70%,4%
Memorial Park,77007,"31,987","$106,044.00",34.3,10%,50%,3%
