ZIP Code,Neighborhood,2016 Median Home Price,% Growth 2010-2016,% Growth 2015-2016,Avg. Days on Market in 2016,% Owner Occupied,Population,Median Income,Median Age,% of Population Under 14,% Unemployed
77065,1960/Cypress,"$179,000.00",45.50%,8.50%,32.0,47%,38585.0,"$56,341.00",33.0,23%,5%
77039,Aldine Area,"$133,500.00",57.10%,7.70%,35.1,61%,28711.0,"$37,275.00",27.2,28%,9%
77072,Alief,"$164,000.00",80.20%,14.70%,31.3,47%,59442.0,"$37,143.00",32.4,23%,10%
77511,Alvin North,"$227,000.00",43.40%,5.60%,58.3,71%,46333.0,"$51,203.00",34.9,22%,7%
77511,Alvin South,"$163,900.00",46.30%,6.20%,35.1,71%,46333.0,"$51,203.00",34.9,22%,7%
77346,Atascocita North,"$189,900.00",46.10%,4.30%,42.4,82%,57329.0,"$87,878.00",33.4,25%,5%
77396,Atascocita South,"$199,000.00",32.70%,0.80%,41.6,63%,47623.0,"$57,440.00",30.8,26%,7%
77518,Bacliff/San Leon,"$165,941.00",73.90%,15.30%,55.5,67%,8667.0,"$40,421.00",31.7,28%,8%
77563,Bayou Vista,"$240,000.00",60.10%,16.00%,65.4,69%,9836.0,"$50,481.00",43.1,19%,8%
77521,Baytown/Chambers County,"$167,950.00",37.50%,5.90%,31.6,64%,53091.0,"$54,343.00",31.5,27%,10%
77520,Baytown/Harris County,"$149,900.00",48.60%,6.30%,42.2,61%,37928.0,"$43,094.00",32.4,24%,11%
77449,Bear Creek,"$162,500.00",54.80%,6.20%,30.0,74%,99450.0,"$66,550.00",30.4,27%,8%
77401,Bellaire,"$933,000.00",33.30%,0.90%,67.7,82%,18130.0,"$154,053.00",41.2,23%,4%
77025,Braeswood Place,"$715,000.00",58.50%,1.40%,53.3,45%,27413.0,"$65,524.00",35.3,19%,5%
77031,Brays Oaks,"$225,000.00",77.20%,10.00%,38.7,43%,17711.0,"$38,677.00",30.9,27%,9%
77057,Briargrove,"$824,000.00",51.10%,3.00%,53.2,32%,40086.0,"$52,624.00",33.9,16%,5%
77042,Briargrove Park/Walnut Bend,"$460,000.00",64.30%,6.80%,50.8,28%,38335.0,"$45,403.00",31.5,19%,7%
77063,Briarmeadow/Tanglewilde,"$292,000.00",55.60%,-0.30%,50.4,27%,36299.0,"$46,611.00",32.9,18%,6%
77423,Brookshire,"$160,000.00",5.60%,-34.70%,54.8,62%,9739.0,"$37,182.00",33.7,25%,8%
77514,Chambers County East,"$134,750.00",16.20%,9.10%,79.8,79%,4430.0,"$43,750.00",41.4,18%,6%
77523,Chambers County West,"$260,000.00",39.60%,3.60%,49.5,83%,18378.0,"$90,226.00",33.7,27%,7%
77069,Champions Area,"$234,195.00",33.80%,5.50%,44.5,60%,16764.0,"$64,498.00",47.1,14%,5%
77063,Charnwood/Briarbend,"$527,500.00",23.10%,-34.60%,30.9,27%,36299.0,"$46,611.00",32.9,18%,6%
77062,Clear Lake Area,"$233,000.00",30.00%,3.40%,39.2,78%,25760.0,"$83,932.00",40.3,17%,7%
77327,Cleveland Area,"$125,000.00",89.40%,11.10%,56.0,74%,21089.0,"$42,902.00",35.6,23%,14%
77331,Coldspring/South San Jacinto County,"$109,250.00",56.10%,-9.00%,72.2,87%,6124.0,"$41,611.00",54.0,13%,10%
77301,Conroe Northeast,"$164,500.00",67.00%,4.30%,56.6,49%,31796.0,"$34,579.00",31.8,24%,6%
77301,Conroe Southeast,"$176,750.00",36.40%,2.20%,52.3,49%,31796.0,"$34,579.00",31.8,24%,6%
77304,Conroe Southwest,"$325,000.00",38.30%,-4.40%,71.4,57%,24426.0,"$59,278.00",36.6,19%,3%
77095,Copperfield Area,"$204,000.00",33.30%,4.60%,33.4,72%,69927.0,"$88,555.00",35.0,23%,5%
77007,Cottage Grove,"$392,500.00",48.20%,-1.90%,66.1,50%,31987.0,"$106,044.00",34.3,10%,3%
77532,Crosby Area,"$176,000.00",40.90%,10.10%,51.4,80%,28394.0,"$62,313.00",34.8,23%,8%
77650,Crystal Beach,"$250,000.00",17.90%,3.10%,111.0,91%,1221.0,"$92,083.00",53.3,15%,5%
77429,Cypress North,"$230,995.00",32.00%,-0.60%,44.0,82%,76437.0,"$98,191.00",34.2,26%,3%
77433,Cypress South,"$282,000.00",77.40%,2.70%,68.8,83%,60324.0,"$93,884.00",31.1,30%,5%
77535,Dayton,"$157,500.00",37.30%,21.20%,59.9,80%,30946.0,"$57,170.00",37.1,18%,8%
77536,Deer Park,"$180,000.00",33.30%,8.40%,27.4,76%,31960.0,"$79,251.00",34.7,23%,7%
